Station,Year,Rainfall (mm)
"Bara, Nijghad ",2007,NA 
"Bara, Nijghad ",2008,NA 
"Bara, Nijghad ",2009,1108
"Bara, Nijghad ",2010,1146
"Bara, Nijghad ",2011,1540
"Bara, Nijghad ",2012,NA 
"Rupandehi,Bhairahawa ",2001,2016
"Rupandehi,Bhairahawa ",2002,1269
"Rupandehi,Bhairahawa ",2003,1953
"Rupandehi,Bhairahawa ",2004,1524
"Rupandehi,Bhairahawa ",2005,1768
"Rupandehi,Bhairahawa ",2006,1214
"Rupandehi,Bhairahawa ",2007,2066
"Rupandehi,Bhairahawa ",2008,1669
"Rupandehi,Bhairahawa ",2009,1504
"Rupandehi,Bhairahawa ",2010,1904
"Rupandehi,Bhairahawa ",2011,1284
"Rupandehi,Bhairahawa ",2012,1387
"Samkhuwasabha, Chinpur ",2001,173
"Samkhuwasabha, Chinpur ",2002,1683
"Samkhuwasabha, Chinpur ",2003,1745
"Samkhuwasabha, Chinpur ",2004,1392
"Samkhuwasabha, Chinpur ",2005,1332
"Samkhuwasabha, Chinpur ",2006,1521
"Samkhuwasabha, Chinpur ",2007,2395
"Samkhuwasabha, Chinpur ",2008,1249
"Samkhuwasabha, Chinpur ",2009,1348
"Samkhuwasabha, Chinpur ",2010,1669
"Samkhuwasabha, Chinpur ",2011,1327
"Samkhuwasabha, Chinpur ",2012,1275
Saptari Rajbiraj ,2001,182
Saptari Rajbiraj ,2002,2024
Saptari Rajbiraj ,2003,1763
Saptari Rajbiraj ,2004,2185
Saptari Rajbiraj ,2005,NA
Saptari Rajbiraj ,2006,NA
Saptari Rajbiraj ,2007,NA 
Saptari Rajbiraj ,2008,1212
Saptari Rajbiraj ,2009,951
Saptari Rajbiraj ,2010,1141
Saptari Rajbiraj ,2011,1680
Saptari Rajbiraj ,2012,969
"Sindhuli, Sindhilighadi ",2001,2787
"Sindhuli, Sindhilighadi ",2002,2919
"Sindhuli, Sindhilighadi ",2003,2617
"Sindhuli, Sindhilighadi ",2004,NA
"Sindhuli, Sindhilighadi ",2005,NA
"Sindhuli, Sindhilighadi ",2006,NA
"Sindhuli, Sindhilighadi ",2007,1711
"Sindhuli, Sindhilighadi ",2008,1279
"Sindhuli, Sindhilighadi ",2009,1543
"Sindhuli, Sindhilighadi ",2010,NA
"Sindhuli, Sindhilighadi ",2011,2263
"Sindhuli, Sindhilighadi ",2012,1822
"Sunsari, Dharan ",2001,2616
"Sunsari, Dharan ",2002,2214
"Sunsari, Dharan ",2003,2325
"Sunsari, Dharan ",2004,2326
"Sunsari, Dharan ",2005,2027
"Sunsari, Dharan ",2006,1751
"Sunsari, Dharan ",2007,2167
"Sunsari, Dharan ",2008,2280
"Sunsari, Dharan ",2009,1887
"Sunsari, Dharan ",2010,2711
"Sunsari, Dharan ",2011,1637
"Sunsari, Dharan ",2012,1836
"Surkhet, Birendranagar ",2001,1722
"Surkhet, Birendranagar ",2002,1538
"Surkhet, Birendranagar ",2003,1849
"Surkhet, Birendranagar ",2004,1425
"Surkhet, Birendranagar ",2005,1810
